DATE,SPOT,FUTURE
11-12-2010,432.6331,424.6123
11/15/2010,434.0471,426.0045
11/16/2010,423.0757,415.238
11/17/2010,424.1236,416.268
11/18/2010,434.2543,426.2127
11/19/2010,435.8066,427.7378
11/22/2010,438.4244,430.312
11/23/2010,443.3727,435.1704
11/24/2010,442.1107,433.9335
11/26/2010,435.62,427.5662
11/29/2010,438.415,430.3144
11/30/2010,447.5913,439.3234
12-01-2010,449.0751,440.7818
12-02-2010,450.0843,441.7746
12-03-2010,457.299,448.8582
12-06-2010,461.7952,453.278
12-07-2010,460.4258,451.9356
12-08-2010,447.1451,438.9016
12-09-2010,452.0746,443.7421
12-10-2010,449.2701,440.9911
12/13/2010,457.2246,448.8043
12/14/2010,459.4361,450.9768
12/15/2010,452.7666,444.4319
12/16/2010,447.0583,438.8303
12/17/2010,450.6175,442.3257
12/20/2010,453.2493,444.9143
12/21/2010,454.0422,445.6942
12/22/2010,453.6866,445.3468
12/23/2010,451.8716,443.5667
12/27/2010,452.0434,443.7418
12/28/2010,462.3732,453.8841
12/29/2010,466.0143,457.4606
12/30/2010,463.3804,454.8773
12/31/2010,468.9227,460.3203
01-03-2011,470.1866,461.5678
01-04-2011,452.3849,444.0944
01-05-2011,449.7173,441.4776
01-06-2011,448.9166,440.6933
01-07-2011,446.0423,437.8735
01-10-2011,448.3122,439.9155
01-11-2011,453.7082,445.0371
01-12-2011,454.3165,445.5637
01/13/2011,453.5615,444.7631
01/14/2011,443.6023,434.8629
01/18/2011,447.6788,438.8664
01/19/2011,447.7919,438.9791
01/20/2011,436.942,428.3446
01/21/2011,435.4032,426.838
01/24/2011,435.8583,427.2896
01/25/2011,430.9173,422.4476
01/26/2011,432.2836,423.7889
01/27/2011,428.2667,419.8527
01/28/2011,436.9949,428.4113
01/31/2011,436.1254,427.5644
02-01-2011,438.8423,430.2297
02-02-2011,435.9709,427.4165
02-03-2011,442.7932,434.1067
02-04-2011,443.0191,434.33
02-07-2011,443.8681,435.1677
02-08-2011,451.2697,442.4084
02-09-2011,451.6544,442.7685
02-10-2011,450.2544,441.38
02-11-2011,449.3819,440.5084
02/14/2011,452.5623,443.614
02/15/2011,455.4004,446.3976
02/16/2011,455.3651,446.3646
02/17/2011,461.3122,452.1958
02/18/2011,464.7815,455.5981
02/22/2011,470.0001,460.7202
02/23/2011,474.8644,465.4899
02/24/2011,474.8548,465.4819
02/25/2011,472.2884,462.9676
02/28/2011,475.7481,466.3633
03-01-2011,483.29,473.7583
03-02-2011,486.4136,476.8222
03-03-2011,479.2371,469.7891
03-04-2011,485.9643,476.3856
03-07-2011,489.4184,479.7773
03-08-2011,486.9171,477.2539
03-09-2011,489.0297,479.2477
03-10-2011,481.2326,471.5313
03-11-2011,486.7944,476.9034
03/14/2011,487.2851,477.3201
03/15/2011,472.9364,463.2661
03/16/2011,475.0679,465.3552
03/17/2011,476.2943,466.5577
03/18/2011,482.2087,472.3523
03/21/2011,488.2526,478.2762
03/22/2011,489.5652,479.5633
03/23/2011,495.5824,485.4588
03/24/2011,495.464,485.3441
03/25/2011,492.0705,482.0212
03/28/2011,490.6463,480.6299
03/29/2011,489.3277,479.3396
03/30/2011,493.1034,483.0396
03/31/2011,498.2284,488.0612
04-01-2011,494.9147,484.8165
04-04-2011,498.7474,488.575
04-05-2011,506.1438,495.8213
04-06-2011,508.3901,498.0225
04-07-2011,509.1982,498.8148
04-08-2011,516.8006,506.2416
04-11-2011,515.3448,504.7967
04-12-2011,509.7406,499.2864
04/13/2011,510.8968,500.3986
04/14/2011,520.364,509.6492
04/15/2011,527.089,516.2364
04/18/2011,530.2126,519.2978
04/19/2011,534.2551,523.258
04/20/2011,537.2307,526.1732
04/21/2011,544.3552,533.1519
04/22/2011,544.3552,533.1519
04/25/2011,549.7192,538.4091
04/26/2011,540.5974,529.476
04/27/2011,547.3335,536.0745
04/28/2011,556.5782,545.1299
04/29/2011,566.7552,555.0986
05-02-2011,557.6478,546.1815
05-03-2011,540.5779,529.4634
05-04-2011,522.5318,511.789
05-05-2011,502.4761,492.1464
05-06-2011,501.4979,491.189
05-09-2011,511.1999,500.629
05-10-2011,519.7306,508.9192
05-11-2011,504.9728,494.4071
05-12-2011,503.7119,493.1098
05/13/2011,501.2832,490.6744
05/16/2011,497.2851,486.7619
05/17/2011,492.2811,481.8642
05/18/2011,502.1657,491.54
05/19/2011,500.6856,490.0916
05/20/2011,505.3397,494.6477
05/23/2011,506.2822,495.5715
05/24/2011,512.7409,501.8943
05/25/2011,519.1995,508.2171
05/26/2011,517.0275,506.0918
05/27/2011,522.3797,511.3316
