Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-February-2019,621.65,629.35,612.60,616.25,619.836047128205791440,77321,1281,47926343.00,13282,17.18,16.75,-5.40
26-February-2019,615.00,621.60,608.00,619.60,616.839706896035004645,66734,1237,41164181.00,17222,25.81,13.60,4.60
25-February-2019,629.70,629.70,614.00,616.55,618.266433849364366176,46961,874,29034410.00,10758,22.91,15.70,-13.15
22-February-2019,622.00,627.25,618.95,620.75,624.194597123143491989,25653,597,16012464.00,5778,22.52,8.30,-1.25
21-February-2019,620.00,624.60,618.15,621.65,621.730812013348164627,39556,3209,24593184.00,14415,36.44,6.45,1.65
20-February-2019,620.00,620.00,611.65,618.15,615.320475714360890385,57009,1070,35078805.00,16175,28.37,8.35,-1.85
19-February-2019,607.05,620.20,605.90,615.85,615.020116244967606046,75014,1462,46135119.00,12207,16.27,14.30,8.80
18-February-2019,624.00,625.40,605.05,606.85,612.952928337577300836,82470,1806,50550228.00,15724,19.07,20.35,-17.15
15-February-2019,641.50,641.50,611.80,615.40,619.684993107382231306,105185,2509,65181566.00,25988,24.71,29.70,-26.10
14-February-2019,639.50,645.95,635.00,643.70,640.553174350821409644,47175,988,30218096.00,12152,25.76,10.95,4.20
13-February-2019,646.00,646.35,637.10,639.05,640.069415521310565042,43218,981,27662520.00,11179,25.87,9.25,-6.95
12-February-2019,637.05,653.00,637.05,643.95,645.041760985000740442,47269,1555,30490479.00,12896,27.28,15.95,6.90
11-February-2019,654.65,654.70,641.55,644.00,646.563936444652908067,34112,893,22055589.00,4644,13.61,13.15,-10.65
8-February-2019,658.00,662.40,646.55,654.75,655.646651604157252598,55325,1313,36273651.00,8204,14.83,15.85,-3.25
7-February-2019,644.00,658.90,633.95,656.35,650.988280444022613791,96932,2403,63101596.00,21284,21.96,24.95,12.35
6-February-2019,650.10,651.95,617.40,633.95,634.922854699064376483,114576,2609,72746921.00,30740,26.83,34.55,-16.15
5-February-2019,653.65,658.40,647.00,650.50,651.333816819266914453,66186,1379,43109180.00,23464,35.45,11.40,-3.15
4-February-2019,665.00,669.70,651.40,653.65,657.492850333651096282,45107,995,29657530.00,8858,19.64,18.30,-11.35
1-February-2019,650.00,669.85,645.00,666.55,660.302245079616259519,111221,2937,73439476.00,26053,23.42,24.85,16.55
31-January-2019,648.05,654.75,646.05,648.85,650.046152735411439813,55403,1253,36014507.00,14271,25.76,8.70,0.80
30-January-2019,654.00,654.45,643.70,646.80,649.373141992699818189,72053,1433,46789283.00,12165,16.88,10.75,-7.20
29-January-2019,648.25,654.30,644.00,649.40,647.898754232531189454,331362,3191,214689027.00,245077,73.96,10.30,1.15
28-January-2019,668.95,668.95,641.70,649.15,650.270693287849904685,99670,2792,64812480.00,18571,18.63,27.25,-19.80
25-January-2019,682.00,682.85,656.70,664.70,668.264011735209109586,459472,9715,307048602.00,67476,14.69,26.15,-17.30
24-January-2019,673.80,674.10,666.00,670.55,669.988863727569798773,69772,1662,46746463.00,16142,23.14,8.10,-3.25
23-January-2019,672.00,677.25,666.70,670.30,672.017967761547182832,121718,2823,81796683.00,21563,17.72,10.55,-1.70
22-January-2019,664.30,672.85,660.50,668.30,666.539793127030261583,70188,1733,46783095.00,17566,25.03,12.35,4.00
