Date,US,Brazil,Russia,India,China,South Africa,GFC,Covid
29-12-2004,-0.002338124,0.001683309,-0.002636235,0.000679281,-0.00362675,-0.00859584,0,-1
30-12-2004,-0.002671412,0.001336975,0.011808709,-0.006936351,-0.000474096,0.00796628,0,-1
11-01-2005,-0.00612079,0.00320579,-0.01070667,-0.013673043,0.004032923,-0.004696503,0,-1
12-01-2005,0.005814746,0.00572833,-0.003478895,-0.019493345,-0.000428783,0.006435224,0,-1
13-01-2005,-0.010599632,0.012004362,-0.000412994,0.019202431,-0.000484641,-0.024622473,0,-1
14-01-2005,0.004953518,0.004745635,0.01073185,-0.007622577,-0.008548615,0.005463871,0,-1
18-01-2005,0.006682494,-0.01752987,-0.019517149,-0.000277679,0.007208565,-0.02762224,0,-1
19-01-2005,-0.00839169,0.007526917,-0.00372936,-0.003077923,-0.006012509,-0.014813262,0,-1
20-01-2005,-0.006520281,-0.027611871,-0.013180288,0.001605692,-0.01132229,0.003688619,0,-1
24-01-2005,-0.002348556,0.015828388,0.01088088,-0.012500101,0.017107937,0.01874615,0,-1
27-01-2005,-0.002975245,-0.020593809,0.011383639,0.012328437,-0.013021253,-0.011352029,0,-1
28-01-2005,-0.003847907,-0.002583442,0.020867258,0.028387479,-0.010016642,0.020961489,0,-1
31-01-2005,0.005998948,0.015853309,0.019107651,0.021095161,-0.018167211,0.00215292,0,-1
01-02-2005,0.005893026,-0.008329945,0.00486878,-0.000529389,-0.002429457,-0.002017923,0,-1
02-02-2005,0.004241359,0.018706703,0.016510868,-0.00342597,0.052086944,-0.011377849,0,-1
03-02-2005,-0.00034832,0.010873407,0.005912011,0.01367473,-0.008171414,-0.009168857,0,-1
04-02-2005,0.011547263,0.033912272,-0.00032074,-0.000262911,0.021262223,0.00425279,0,-1
09-02-2005,-0.005659024,0.022365763,0.00248561,0.007422572,0,0.016965887,0,-1
10-02-2005,0.007985577,0.00386877,-0.003035413,-0.002383917,0,0.011789094,0,-1
11-02-2005,0.004307092,0.009606946,0.00067194,0.008466812,0,0.016489011,0,-1
14-02-2005,-0.00045211,-0.005225281,-0.002124262,0.006845968,0,0.016485446,0,-1
