CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKUPL27-FEB-2020,524.7,527.5,543.8,522.65,538.65,538.65,2.65,17521,4736700,5263,2542303170
FUTSTKADANIPORTS27-FEB-2020,371.55,371.4,372,360.7,367.85,367.85,-0.99,10272,14295000,5718,5227319875
FUTSTKSUNPHARMA26-MAR-2020,424.7,425.2,431.45,423.6,427.4,427.4,0.63,269,230000,184,98173875
FUTSTKM&M26-MAR-2020,579.75,581,592,580.95,587.65,587.65,1.36,119,61000,61,35764250
FUTSTKAMARAJABAT30-APR-2020,786.85,0,0,0,,794.75,1,2,0,0,0
FUTSTKTATAPOWER26-MAR-2020,56.75,56.6,57.8,56.6,57.65,57.65,1.58,66,126000,14,7204500
FUTSTKPFC26-MAR-2020,116.95,116.85,123.5,116.85,122.3,122.3,4.57,140,1277200,206,155009300
FUTSTKTATAMOTORS30-APR-2020,168.25,168.95,185.75,168.95,185.3,185.3,10.13,29,184900,43,33242870
FUTSTKASHOKLEY26-MAR-2020,79.45,79.85,82.6,79.8,80.95,80.95,1.88,167,616000,77,49948800
FUTSTKPIDILITIND26-MAR-2020,1563.2,1556.2,1564.45,1553,1558.6,1558.6,-0.29,110,4500,9,7010800
FUTSTKNIITTECH27-FEB-2020,1913.55,1905.75,1959,1905.75,1931.3,1931.3,0.92,2076,524625,1399,1014191119
FUTSTKPNB26-MAR-2020,57.3,56.85,57.65,56.5,57.3,57.3,0,517,1236700,149,70603950
FUTSTKGRASIM30-APR-2020,803.85,0,0,0,,810,0.76,2,0,0,0
FUTSTKBAJAJFINSV30-APR-2020,9592.25,9670.85,9714.9,9599.05,9698.9,9698.9,1.11,11,1000,8,9678112.5
FUTSTKBANKBARODA26-MAR-2020,87.85,87.85,89.25,87.85,89,89,1.3,235,378000,70,33486750
FUTSTKAPOLLOTYRE26-MAR-2020,162.45,163.4,170,163.4,168.5,168.5,3.72,72,189000,63,31513800
FUTSTKNTPC27-FEB-2020,108.3,108.2,109.35,107.45,108.35,108.35,0.04,32962,20712000,4315,2246526720
FUTSTKTATAMOTORS27-FEB-2020,166.5,168.1,185.25,167.1,184.05,184.05,10.54,15420,113145900,26313,20124780665
FUTSTKEQUITAS30-APR-2020,109.95,114.9,115.35,114.6,115.35,115.75,5.27,3,14700,3,1689765
FUTSTKZEEL27-FEB-2020,244.95,250.2,250.8,220.7,228.05,228.05,-6.89,16942,45983300,27049,10577850330
FUTSTKONGC26-MAR-2020,101.3,100.9,102.5,100.2,101.75,101.75,0.44,737,840500,205,85131170
FUTSTKUJJIVAN27-FEB-2020,384.05,381.9,416.8,380.1,404.9,404.9,5.42,4008,13542200,7966,5503914730
FUTSTKVEDL26-MAR-2020,138.9,139.1,144.75,138.25,144.05,144.05,3.7,992,3377500,965,473760525
FUTSTKMCDOWELL-N27-FEB-2020,645.55,654.5,657,643.85,653.15,653.15,1.17,10498,4825000,3860,3142867500
FUTSTKTATAPOWER30-APR-2020,57.1,0,0,0,,57.9,1.4,3,0,0,0
FUTSTKBRITANNIA30-APR-2020,3273.9,0,0,0,,3297.1,0.7,0,0,0,0
FUTSTKBALKRISIND27-FEB-2020,1123.7,1123.25,1138,1093.05,1104.2,1104.2,-1.73,1719,2274400,2843,2545667720
FUTSTKSBIN30-APR-2020,309.45,308.75,315.8,308.7,314.95,314.95,1.77,58,132000,44,41256900
FUTSTKADANIENT30-APR-2020,228.35,0,0,0,,239.25,4.77,4,0,0,0
FUTSTKASIANPAINT30-APR-2020,1905.75,1890,1899.3,1890,1899.3,1899.3,-0.33,16,1200,2,2273580
FUTSTKEICHERMOT30-APR-2020,19762.5,19805,19805,19583.25,19583.25,19583.25,-0.9,4,90,3,1775770.5
FUTSTKEICHERMOT26-MAR-2020,19605.25,19730.45,19825,19555.35,19584.6,19584.6,-0.1,293,2010,67,39671838
FUTSTKFEDERALBNK26-MAR-2020,90.35,90.8,91.65,90,91.55,91.55,1.32,132,532000,76,48321350
FUTIDXBANKNIFTY27-FEB-2020,30718.45,30760.05,31116.6,30631.2,31050.35,31050.35,1.08,52866,3674400,183720,1.13449E+11
FUTSTKMINDTREE27-FEB-2020,906.75,908.75,920.9,902.5,911.45,911.45,0.51,1065,676800,846,616444400
FUTSTKJINDALSTEL27-FEB-2020,184.25,183.9,193.8,182.55,191.05,191.05,3.69,6560,38875000,7775,7274665750
FUTSTKINDUSINDBK30-APR-2020,1283.6,0,0,0,,1288.9,0.41,9,0,0,0
FUTIDXNIFTYIT26-MAR-2020,16475,0,0,0,,16571,0.58,1,0,0,0
FUTSTKHDFCBANK30-APR-2020,1240,1247.05,1257.55,1240,1257.55,1257.55,1.41,42,10500,21,13109575
FUTSTKITC27-FEB-2020,215.8,216.9,218.25,212.2,217,217,0.55,56121,23143200,9643,4990819800
FUTSTKIDFCFIRSTB26-MAR-2020,40.55,40.5,41.45,40.45,41.1,41.1,1.35,2339,7488000,624,307647000
FUTSTKCOALINDIA26-MAR-2020,173.2,174,174.6,171.1,172.9,172.9,-0.17,1418,1323000,490,228654225
FUTSTKMFSL27-FEB-2020,482.45,472.25,490,472.25,482.55,482.55,0.02,4216,3884400,2988,1873515410
FUTSTKPVR27-FEB-2020,2000.5,1992,2067.3,1992,2062.35,2062.35,3.09,2924,1030400,2576,2107433080
FUTSTKMCDOWELL-N26-MAR-2020,647.05,657.15,657.15,647.05,650.75,657.6,1.63,45,13750,11,8954875
FUTSTKACC30-APR-2020,1506.3,1476.55,1476.55,1476.55,1476.55,1488.4,-1.18,4,1200,3,1771860
FUTSTKHDFCBANK26-MAR-2020,1234.75,1237.95,1253.25,1233,1251,1251,1.31,1889,189000,378,235053750
FUTSTKADANIENT27-FEB-2020,225.55,227,238.8,222.65,236.5,236.5,4.85,7721,27824000,6956,6423244800
FUTSTKRBLBANK26-MAR-2020,316.85,318.65,322.1,313.5,316.8,316.8,-0.01,117,90000,60,28618875
FUTSTKCOLPAL26-MAR-2020,1361.5,1362.3,1380,1362.3,1374.5,1374.5,0.95,41,7700,11,10582530
FUTSTKBRITANNIA26-MAR-2020,3262.65,3292,3305.2,3272.45,3282.7,3282.7,0.61,23,2200,11,7235310
FUTSTKM&M27-FEB-2020,577.8,581.15,591.3,576.85,585.65,585.65,1.35,22345,5322000,5322,3118671150
FUTSTKUPL30-APR-2020,529.3,537.6,537.6,537.6,537.6,544.25,2.82,2,900,1,483840
FUTSTKNESTLEIND27-FEB-2020,16443.5,16325.95,16499,16276.9,16437.55,16437.55,-0.03,9875,77550,1551,1270193300
FUTSTKHEROMOTOCO30-APR-2020,2493.55,2374.45,2374.45,2336,2347.95,2347.95,-5.83,10,1400,7,3291710
FUTSTKLUPIN26-MAR-2020,725.3,719.85,729.6,719.85,726.1,726.1,0.11,98,21000,30,15246490
FUTSTKICICIPRULI26-MAR-2020,469.2,473.45,480.25,471.1,476.05,476.05,1.45,65,45000,30,21376800
FUTSTKUBL30-APR-2020,1304.4,0,0,0,,1329.8,1.94,0,0,0,0
FUTSTKLUPIN27-FEB-2020,721.85,720,727,716.4,723.15,723.15,0.18,12220,1621900,2317,1172303265
FUTSTKTATAMOTORS26-MAR-2020,167.3,168,185.95,168,184.85,184.85,10.49,456,2610100,607,466629550
FUTSTKPFC30-APR-2020,117.55,118.45,118.45,118.45,118.45,124.45,5.86,4,6200,1,734390
