Date,SMB %,HML %,WML %,VIX %,Rm %,Rf %,Rm-Rf %,MSCI World (Rgm %),Rgm-Rf %,Info Edge Returns %
27-Apr-15,-0.9304796,-1.35644948,-1.40646254,-1.94,-1.59190319,0.03038142,-1.62228461,0.1,0.06961858,-1.916641314
28-Apr-15,0.01947362,0.77471381,1.69543077,-7.07,0.90537303,0.03038142,0.87499161,0.1,0.06961858,-2.748138958
29-Apr-15,0.74785996,0.25503521,1.19131193,-1.01,-0.02797797,0.03038142,-0.05835939,-0.42,-0.45038142,-0.376347515
30-Apr-15,-0.17876208,0.93271585,0.65418645,-0.06,-0.31240084,0.03054938,-0.34295022,-0.97,-1.00054938,-1.415033935
04-May-15,0.02704183,0.25330084,-0.46700442,0.48,1.98964438,0.03054938,1.959095,0.19,0.15945062,0.363707216
05-May-15,0.11092642,-0.08417691,-0.83060518,0.33,0.32516786,0.03054938,0.29461848,-0.97,-1.00054938,0.310619297
06-May-15,0.87109522,-2.15405196,-0.53327997,13.27,-2.8500693,0.03054938,-2.88061868,-0.03,-0.06054938,-4.522288885
07-May-15,-0.33855065,-1.25761652,-0.78605751,-0.1,-0.98255538,0.03071505,-1.01327043,-0.2,-0.23071505,0.371621622
08-May-15,-0.29765321,1.34398039,0.50486389,-2.75,1.4729065,0.03071505,1.44219145,1.44,1.40928495,-1.72332548
11-May-15,-0.3688265,0.02931748,0.57094846,-2.54,1.51203235,0.03071505,1.4813173,-0.31,-0.34071505,-0.589081444
12-May-15,0.83040588,-1.60841564,0.50779404,10.31,-2.01654294,0.03071505,-2.04725799,-0.23,-0.26071505,0.330737959
13-May-15,-0.12499213,0.13761196,0.06052991,0.68,1.17203244,0.03071505,1.14131739,0.28,0.24928495,-2.314401483
14-May-15,-0.67011777,1.08778424,0.38752183,0.07,0.44086655,0.03071505,0.4101515,0.75,0.71928495,0.618672666
15-May-15,0.80933771,-1.22840155,1.3557641,-4.28,0.37437269,0.03071505,0.34365764,0.2,0.16928495,0.684740078
18-May-15,0.36917691,-1.01155334,-0.22428226,-9.65,1.0827814,0.03071505,1.05206635,0.09,0.05928495,-0.860513532
19-May-15,0.1861572,0.96547836,0.04913426,2.05,0.01859379,0.03071505,-0.01212126,-0.28,-0.31071505,4.409911802
20-May-15,0.09115142,-0.53434776,-0.03319339,-3.02,0.42524623,0.03071505,0.39453118,0.01,-0.02071505,2.7487262
21-May-15,-0.40011907,0.38531991,0.33521296,-1.72,-0.01194085,0.03038142,-0.04232227,0.38,0.34961858,6.537909435
22-May-15,0.27953683,-0.64643887,0.50785954,-2.67,0.30862068,0.03038142,0.27823926,-0.41,-0.44038142,2.437530622
25-May-15,0.14652328,-0.18364104,0.24694545,-0.09,-0.47696886,0.03038142,-0.50735028,0.02,-0.01038142,-5.219418869
26-May-15,0.29023098,-0.23503556,0.47031097,0.8,-0.28519931,0.03038142,-0.31558073,-1.26,-1.29038142,0.296473854
